chemical,flammable,specific_gravity,cpvc,glass_filled_pp,pvdf,ryton_pps,etfe,ptfe,ss316,hastelloy_c276,titanium,carbon,ceramic,silicon_carbide,epdm,fkm,fep
"Hydrogen Peroxide, 30%",False,1.19,225,NR,212,100,250,500,125,200,140,NR,500,500,NR,104,300
"Hydrogen Peroxide, 50%",False,1.19,185,NR,250,NR,150,500,104,200,70,NR,500,500,NR,104,300
"Hydrogen Peroxide, 90%",False,1.4,NR,NR,200,NR,150,500,70,130,70,NR,500,500,NR,104,300
"Hydrogen Sulfide, Aqueous (wet gas)",True,1.54,212,NR,250,300,250,500,215,170,400,80,500,500,140,NR,300
Isobutyl Alcohol,True,0.8,70,NR,275,200,275,480,480,140,140,70,500,500,160,75,200
Isooctane,True,0.69,140,NR,275,200,125,300,70,70,ND,120,500,500,NR,70,300
Isopropanol (Isopropyl alcohol),True,0.79,225,180,158,200,125,500,140,212,212,500,500,500,176,212,300
Kerosene,True,0.8,190,NR,275,200,300,500,70,200,200,500,500,500,NR,158,300
Lye Solutions (See Sodium & Potassium Hydroxide),False,,180,180,275,200,300,500,200,125,200,500,500,500,176,176,300
Methane/LPG - confirm NPSHa is sufficent,False,0.55,212,NR,285,ND,300,400,700,212,ND,500,500,500,NR,176,300
Methyl Alcohol (Methanol),True,0.79,180,70,285,150,300,500,235,212,200,500,500,500,176,NR,584
Methyl Ethyl Ketone,True,0.83,NR,NR,NR,70,300,500,200,200,200,500,500,500,200,NR,300
Methylamine,True,1.07,NR,NR,NR,ND,200,400,140,70,ND,400,500,500,70,NR,ND
Monoethanolamine,False,1.02,NR,70,NR,200,200,500,212,200,200,500,500,500,200,NR,300
Naphtha NA,True,0.76,180,NR,285,200,300,500,320,200,200,500,500,500,NR,158,300
Nickel Acetate,False,,180,180,250,ND,250,480,70,ND,ND,70,500,500,70,NR,70
Nickel Chloride,False,,225,225,275,200,300,500,70,200,200,500,500,500,212,212,300
Nickel Nitrate,False,,180,180,280,100,300,500,414,70,70,70,500,500,212,248,300
Nickel Sulfate (Nickel Salt),False,,180,180,285,200,300,500,200,212,200,500,500,500,212,217,300
"Nitric Acid, 10%",False,1.05,225,NR,280,140,212,500,181,185,250,NR,500,500,104,120,300
"Nitric Acid, 25-35%",False,1.21,140,NR,160,100,212,500,181,140,250,NR,500,500,104,120,300
"Nitric Acid, 40%",False,1.25,140,NR,150,NR,221,500,181,140,250,NR,500,500,NR,120,300
"Nitric Acid, 70%",False,1.41,70,NR,140,NR,200,500,120,NR,70,NR,500,500,NR,70,300
"Nitric Acid, 90%",False,1.48,NR,NR,140,NR,122,500,120,NR,140,NR,500,500,NR,NR,300
"Nitric Acid, White Fuming",False,1.5,NR,NR,70,NR,122,500,ND,ND,ND,ND,500,500,NR,NR,300
Octane,True,0.7,ND,NR,285,ND,300,500,70,70,ND,ND,500,500,NR,70,300
Octanol,False,0.83,100,250,285,ND,ND,500,480,140,140,500,500,500,160,70,70
Oxalic Acid,False,1.65,180,140,125,212,300,500,140,140,NR,320,500,500,250,140,300
"Peracetic Acid, 40%",True,1.23,NR,NR,70,ND,ND,500,ND,ND,ND,ND,500,500,ND,ND,300
"Fo Perchloric Acid, 10%",False,1.06,225,180,250,100,230,500,NR,ND,100,70,500,500,140,140,300
"Perchloric Acid, 70%",False,1.68,185,NR,212,100,200,500,NR,212,NR,70,500,500,140,140,300
Phenol,False,1.07,185,NR,150,100,NR,500,414,358,414,500,500,500,NR,140,359
