chemical,flex_a_prene,flex_a_chem,flex_a_thane
"Potassium Hypochlorite, 70% in w",E,E,E
Methyl Alcohol (Methanol),E,E,U
"Potassium Iodide, 56% in w",E,E,E
Methyl Bromide,F,U,U
"Potassium Nitrate, 10% in w",E,E,E
"Sulfuric Acid, 95-98% in w",U,E,U
Sulfurous Acid,E,E,E
"Tannic Acid, 75% in w",G,E,U
Tanning Solutions,E,E,F
"Tartaric Acid, 56% in w",E,E,E
Tetrahydrofuran,U,U,U
Thionyl Chloride,E,E,F
Tin Salts,E,E,E
Titanium Salts,E,E,E
Toluene,U,U,U
"Trichloroacetic Acid, 90% in w",G,E,U
Trichloroethane,F,U,U
Trichloroethylene,U,U,U
Trichloropropane,F,U,U
Tricresyl Phosphate,E,E,U
Triethanolamine,F,U,U
Trisodium Phosphate,E,E,E
Turpentine,U,U,G
"Urea, 20% in w",E,E,E
Uric Acid,E,E,F
Vinegar,E,E,G
Vinyl Acetate,G,U,U
"Water, Brine",E,E,E
"Water, Deionized",E,E,E
"Water, Distilled",E,E,E
Xylene,U,U,U
"Zinc Chloride, 80% in w",E,E,E
"Zinc Orthophosphate,, 10% in w",E,E,G
Zinc Salts,E,E,E
"Zinc Sulfate, 30% in w",E,E,E
